id,Title,Content,"Affiliate Tags","Product tags"
44,"Matte Black Vessel Sink Faucet","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">Material And Design: Faucet total height 12 inch spout height 7.9inch spout length 4.1inch,Premium stainlesess steel material construction, matte black finish to resist corrosion and anti-rust, matte black color.</span></li>
 	<li><span class=""a-list-item"">Function: Single lever control hold and cold water, easy adjust water temperature. Filtered bubbler on spout can filter dirt in water and prevent water splash out.</span></li>
 	<li><span class=""a-list-item"">Installation: Easy deck mount type with single hole installation. Centerset Single Handle faucet</span></li>
 	<li><span class=""a-list-item"">What’s Included: One Faucet Body, Install Hardware And Two 60 cm Hose.with two 1/2"" water supply lines</span></li>
 	<li><span class=""a-list-item"">Service: Re-issued if lost or damaged, if any problem can contact customer service.</span></li>
</ul>","Faucets|Favorites|Matte Black",
46,"12"" Vessel Sink","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">Small size above-counter round bowl sink, compact enough to fit in the tightest of spaces, making full use of your space and enjoying easier life</span></li>
 	<li><span class=""a-list-item"">Simple and elegant egg shape design, add sleeker and more elegant element to your house decoration or remodeling</span></li>
 	<li><span class=""a-list-item"">Durable porcelain ceramic - crafted with high-grade ceramic for rust resistance and easy to clean</span></li>
 	<li><span class=""a-list-item"">Easy to install - above-counter design allows you to install your vessel sink without replacing the entire vanity, making your installation a breeze</span></li>
 	<li><span class=""a-list-item"">Compatible with wall-mounted and above counter faucets; Perfect for your bathroom, lavatory, washstand and more; Overall Dimension(Dia.xH): 12 3/8"" x 5 2/4"" (31.5 x 14 cm)</span></li>
</ul>",Favorites|Sinks,
48,"Hexagon Tic Tac Tiles","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">HIGH-QUALITY: Realistic tile effect with 3D texture (10 Sheets of 9.81""W x 9.81""H Made In Korea)</span></li>
 	<li><span class=""a-list-item"">QUICK &amp; EASY: Just peel and stick! No glue, no grout, no mess! Perfect for a DIY project</span></li>
 	<li><span class=""a-list-item"">STRONG DURABILITY: No discoloration, no peeling after installation. Resistant to heat, water, and humidity</span></li>
 	<li><span class=""a-list-item"">SAFE &amp; ECO-FRIENDLY: Anti-bacterial and anti-mold material that does not omit dioxins</span></li>
 	<li><span class=""a-list-item"">GUARANTEE: Your satisfaction is important to us. Email us at contactus@tictactiles.com for any questions or concerns.</span></li>
</ul>",Favorites|Tile,
50,"Matte Black Kitchen Faucet","<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">Hole cover plate can be purchased separately: <a href=""https://amzn.to/358bM10"">Paint Black &amp; Ceramic Disc Valve</a>: resist scratches and corrosion.</span></li>
 	<li><span class=""a-list-item"">High-arch Spout Design with 360-degree Rotation: offers more room for a variety of sink activities.</span></li>
 	<li><span class=""a-list-item"">Dual Function Pull-Out Sprayer: aerated stream &amp; powerful cleaning rinse.</span></li>
 	<li><span class=""a-list-item"">Spout reach 8"", spout height 3.9"", overall height 16"", 1.98 lb NW and 6.83 lb GW.</span></li>
 	<li><span class=""a-list-item"">Easy to install, 3/8"" H &amp; C water hoses includ, fits3/8"" water supply system.</span></li>
</ul>",Faucets|Favorites,
52,"Matte Black Drawer Pulls","<p id=""title"" class=""a-size-large a-spacing-none""><span id=""productTitle"" class=""a-size-large"">Goldenwarm Black Drawer Pulls Kitchen Hardware - 25 Pack LSJ12BK76 Square Bar Pulls 3 inch Hole Center Bathroom Cupboard Cabinet Handles for Furniture</span></p>

<ul class=""a-unordered-list a-vertical a-spacing-none"">
 	<li><span class=""a-list-item"">MEASUREMENT: Hole center:76mm (3 inch);Overall length:88mm(3-1/2 inch);Height:35mm(1-2/5 inch);Width:12mm(1/2 inch).</span></li>
 	<li><span class=""a-list-item"">MATERIAL: The cabinet handles made of high quality stainless steel;Black finished color;Hollow but very sturdy and durable;Hard to get rusty.</span></li>
 	<li><span class=""a-list-item"">WHY CHOOSE: Black would make your kitchen,bathroom,or cupboard looks more elegant and modern.Smooth surface will give you more comfortable feeling.No sharp edge will protect you when you use.Reasonable price will save your money.</span></li>
 	<li><span class=""a-list-item"">TWO LENGTHS OF SCREWS: Each handle matched 1 inch&amp;1.57 inch standard mounting screws to make the installation simple.If you need screws of other sizes,please feel free to contact us.</span></li>
 	<li><span class=""a-list-item"">PERFECT SERVICE: We will patiently answer you if you have any questions. If you are not satisfied with our item, please contact us and we would help you solve it better.Don't hesitate.Just buy it.</span></li>
</ul>","Cabinets|Drawer Pulls|Favorites|Matte Black",
153,"Free Grove Sustainable Starter Set","<!-- wp:paragraph -->
<p>Receive a Grove Sustainable Starter Set for FREE with your 1st purchase of $20+</p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":4} -->
<h4>What's included:</h4>
<!-- /wp:heading -->

<!-- wp:list -->
<ul><li>Grove Recycled Plastic Trash Bags</li><li>Grove Glass Soap Dispenser</li><li>Grove Gel Hand Soap</li><li>Grove Walnut Scrubber Sponges</li><li>Grove Flour Sack Towel</li><li>Free Shipping &amp; VIP Trial</li></ul>
<!-- /wp:list -->",Free,
156,"Free Mrs.Meyer's Gift Set","<!-- wp:paragraph -->
<p>Start your Grove experience today and receive a FREE Home Bundle with your first purchase of $20+&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":4} -->
<h4>What's included:</h4>
<!-- /wp:heading -->

<!-- wp:list -->
<ul><li>Mrs. Meyer's Hand Soap</li><li>Mrs. Meyer's Dish Soap</li><li>Mrs. Meyer's Multi-Surface Spray</li><li>Grove Walnut Scrubber Sponges</li><li>Free Shipping &amp; VIP Trial</li></ul>
<!-- /wp:list -->",Free,
157,"Free Grove Laundry Set","<!-- wp:paragraph -->
<p>Shop the Grove Laundry line and Receive a Free Gift Set With Your First Order of $20+&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2>What's included:</h2>
<!-- /wp:heading -->

<!-- wp:list -->
<ul><li>Grove Laundry Detergent</li><li>Grove Laundry Vessel</li><li>Grove Stain Remover</li><li>Free Shipping &amp; VIP Trial</li></ul>
<!-- /wp:list -->",Free,
158,"Free Rooted Beauty Purifying Skincare Set","<!-- wp:paragraph -->
<p>Shop Grove Rooted Today! Receive a 5-piece Rooted &amp; Grove Collaborative gift set for FREE with your 1st purchase of $20+</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2>What's included:</h2>
<!-- /wp:heading -->

<!-- wp:list -->
<ul><li>Rooted Beauty Purifying Facial Cleanser</li><li>Rooted Beauty Purifying Daily Moisturizer</li><li>Rooted Beauty Purifying Facial Towelettes</li><li>Grove Konjac Sponge</li><li>Grove Hydrating Bar Soap</li><li>Free Shipping &amp; VIP Trial</li></ul>
<!-- /wp:list -->",Free,
159,"Free Baby Gift Set","<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Start your Grove experience today and receive a FREE Baby Bundle with your first purchase of $20+&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2>What's included:</h2>
<!-- /wp:heading -->

<!-- wp:list -->
<ul><li>Babyganics Bubble Bath</li><li>Burt's Bees Nourishing Baby Oil</li><li>Grove Co. Hydrating Bar Soap</li><li>WaterWipes Pure Water Wipes</li><li>Free Shipping &amp; VIP Trial</li></ul>
<!-- /wp:list -->",Free,
175,"24"" Black Kitchen Sink","<!-- wp:list -->
<ul><li>KITCHEN SET INCLUDES: Sink, Basket Strainer, Kitchen Towel, Mounting hardware, cutout template – LIFETIME LIMITED and customer service that puts you first</li><li>UNDERMOUNT DESIGN creates a seamless transition from sink to countertop and makes it easy to wipe water and crumbs into the sink</li><li>NATURALLY HYGIENIC material enriched with silver ions that repel germs for a cleaner sink; LOW MAINTENANCE SURFACE is highly resistant to dirt and grime, and easily wipes clean</li><li>A QUIETER KITCHEN SINK: Thick stone-like material engineered to eliminate vibration and noise when sink is in use – NON-FADING COLOR with UV protection for a rich and consistent hue that will not dull over time</li><li>SINK DIMENSIONS: 24 in. L x 18 1/8 in. W x 8 1/4 in. D / MINIMUM CABINET SIZE required for installation: 27 inches</li></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->","Favorites|Matte Black|Sinks",
177,"18"" Black Round Mirror","<!-- wp:list -->
<ul><li>Round wall mirror brings simple elegance to your plain walls</li><li>Great for use in your hallway, entryway or dressing room</li><li>Clean black frame blends in with any decor</li><li>Wall-mount mirror is easy to hang</li></ul>
<!-- /wp:list -->",Mirrors,
179,"Faux Aloe Plant","<!-- wp:list -->
<ul><li>Faux aloe plant brings a touch of natural color to your interior</li><li>Comes in a round, white pot for sleek contrast and modern style</li><li>Perfect for standalone display or with other greenery</li><li>Easy to use in a variety of living spaces for versatile decor</li></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p><strong>Dimensions (Overall):</strong>&nbsp;12.5 inches (H) x 5 inches (W) x 5 inches (D)</p>
<!-- /wp:paragraph -->","Decor|Faux Plants|Favorites",
182,"Gray Woven Lumbar Throw Pillow","<!-- wp:paragraph -->
<p>Combine comfort and compelling style with this Woven Throw Pillow with Exposed Zipper from Project 62™. This gray throw pillow showcases a woven design, offering a textured aesthetic that enhances the look of your existing decor. The filled design provides plenty of cushioned comfort for relaxing, reading or watching a movie, and the simple rectangular shape makes it easy to use in a variety of rooms. The exposed zipper instantly adds a touch of modern flair, making this throw pillow a functional and stylish accent you'll love using to elevate your decor.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>1962 was a big year. Modernist design hit its peak and moved into homes across the country. And in Minnesota, Target was born — with the revolutionary idea to celebrate design for all. Project 62 embodies this legacy with a collection of modern pieces made for everyday living.If the item details above aren’t accurate or complete, we want to know about it.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Dimensions (Overall):</strong>&nbsp;14 inches (L) x 20 inches (W) x 5.5 inches thick</p>
<!-- /wp:paragraph -->","Bedding|Throw Pillows",
184,"White Quilt with Shams","<!-- wp:list -->
<ul><li>Outer Shell 100% Microfiber Polyester. Filling 70% Cotton 30% Polyester.</li><li>TOP QUALITY 3-PIECE LUXURY QUILT SET: includes 1 quilt and 2 bonus shams. Bedspread set features a stitched block design in solid colors.</li><li>SOFT, WARM &amp; COMFORTABLE all season quilt set. Lightweight for year round use, great for layering. High-quality 220 GSM 70 % cotton/ 30% poly fill and 100 GSM polyester cover.</li><li>EASY CARE &amp; EASY WASH: Machine washable warm, tumble dry low, warm iron if needed. Durable, high-quality material designed to last.</li><li>TRADITIONAL MODERN BASKET WEAVE. Tight stitching and seams for durability, perfect for family with pets or kids. Will hold up through washing and won’t unravel.</li><li>100% SATISFACTION GUARANTEED: Customer satisfaction is of utmost importance to us. We're confident you'll love our products, but if you're not 100% SATISFIED, our customer service team will work with you to make it right!</li></ul>
<!-- /wp:list -->",Bedding,
185,"Accordion Coat Rack","<!-- wp:list -->
<ul><li>ADJUSTABLE COAT &amp; HAT RACKS: Elegant yet functional wall mounted adjustable wooden coat rack with natural stained finish.</li><li>VINTAGE CHARM: Classic accordion design featuring 10 dark brown pegs for hanging coats, purses, towels, jewelry and much more.</li><li>VERSATILE STORAGE: Multipurpose racks can be used for garments, hats, bags, scarves, power cords, mugs, dog leashes, and more</li><li>EXPANDABLE &amp; COLLAPSIBLE: Rack can be adjusted to accommodate different items and spaces; rack can be collapsed for compact storage when not in use</li><li>**USPTO Patent Pending** SPECS: 6.75 H X 17.75 W X 3.25 D (in inches)</li></ul>
<!-- /wp:list -->","Coat/Towel Racks|Favorites",
186,"Toilet Paper Holder","<!-- wp:list -->
<ul><li>RUSTPROOF: The paper holder (bracket and screws included) is constructed from high quality SUS 304 Stainless Steel to protect against corrosion &amp; rust. Ideal for humid environments such as bathroom and kitchen.</li><li>ROTATE PROOF: Our toilet paper holder has unique slot design with screw tightening on the bracket to prevent from rotation. NO wobbling nor dropping off! Just enjoy this sturdy and heavy duty design.</li><li>FITS BIG ROLL: Max. length of paper roll is 5-inch. Large stainless steel knob at the bar end prevents toilet paper roll from falling off.</li><li>EASY INSTALLATION: ONE piece, NO assembly required. Package comes with mounting screws, anchors and bracket. Use included fixing screws to mount holder securely.</li><li>MATTE BLACK FINISH: Perfectly smooth, high quality matt black finish, build to resist daily scratches, corrosions, and tarnishing.</li></ul>
<!-- /wp:list -->","Favorites|Matte Black",
191,"Geometric Aged Copper Deer Mount",,Copper|Decor|Favorites,
194,"Concrete Copper Geometric Plant Hanger",,"Copper|Decor|Faux Plants",
198,"FREE Mrs.Meyers & Grove Caddy Set",,Free,
200,"Black Metal Futon Frame",,"Futons|Matte Black",
202,"8"" Leather Futon Mattress",,Futons|Mattress,
766,"Matte Black Towel Racks",,"Coat/Towel Racks|Matte Black",
770,"Copper French Press",,Copper|Favorites,
771,"Hexagon Wall Planter/Storage",,"Decor|Favorites|Matte Black|Storage",
776,"Don't Worry Bee Happy T-Shirt | Black Text",,T-Shirts,
779,"Don't Worry Bee Happy T-Shirt | White Text",,T-Shirts,
783,"Social Distance Expert T-Shirt | White Text",,T-Shirts,
784,"Social Distance Expert T-Shirt | Black Text",,T-Shirts,
786,"Social Distance Expert T-Shirt | White Text",,T-Shirts,
787,"Social Distance Expert T-Shirt | Black Text",,T-Shirts,
825,"Triangle Towel Holder",,"Coat/Towel Racks|Matte Black",
826,"Faux Succulents",,"Decor|Faux Plants",
948,"Red Stag Poster",,"Poster|Wall Art",
952,"Succulent Poster",,"Poster|Wall Art",
953,"Poster Frame",,"Poster|Wall Art",
954,"Beddy's Love at First White Set",,"Bedding|Discount Code",
956,"Beddy's Natural Set",,"Bedding|Discount Code",
959,"Decal Remover Eraser Wheel",,Tools,
961,"Accordion Folding Door",,Door,
963,"Pixel Turkish Towel Set",,Towels,
965,"Sedona Double Sided Throw",,"Throw Blanket",
967,"Dometic Slow Close Ceramic Toilet",,Toilet,
970,"RV Sand Free Outdoor Mat",,"Discount Code|Rug",
972,"18"" Feather Throw Pillow Insert",,"Throw Pillows",
975,"Set of 4 - 18"" Modern, Boho Throw Pillow Covers",,"Throw Pillows",
982,"White Tea Kettle",,"Kitchen Items",
988,"Roll-up Sink Drying Rack",,"Kitchen Items",
989,"Silverware Drawer Organizer",,"Kitchen Items",
990,"Porcelain Utensil Holder",,"Kitchen Items",
991,"Silicone Kitchen Utensil Set",,"Kitchen Items",
1033,"Wooden Coat/Towel Hooks",,"Coat/Towel Racks",
1044,"Matte Black Plastic Bowls",,"Kitchen Items|Matte Black",
1045,"Matte Black Plastic Plates",,"Kitchen Items|Matte Black",
1046,"Military Wool Blanket",,Bedding,
1047,"Moscow Mule Mugs",,"Kitchen Items",
1048,"Matte Black Paper Towel Holder",,"Kitchen Items",
1049,"Black Shower Soap Holder",,,
1050,"White Storage Caddy",,,
1051,"Metal Enamel Storage Stool",,Storage,
1071,"Non-Slip Furniture Pads",,,
1087,"Over the Door Black Metal Mirror",,Mirrors,
1110,"Linear Aztec Black Rug",,Rug,
1112,"FlexiSpot Sit Stand Smart Workstation",,,
1119,"RV Hanging Portable Closet Storage",,"Discount Code|Storage",
1131,"Floating Storage Shelf",,Storage,
1133,"TrafficMaster Pacific Pine Flooring",,Flooring,
1164,"Pewter Green Paint Color",,Paint,
1168,"Broadway Paint Color",,Paint,
1169,"Frost Paint Color",,Paint,
1210,"Throw Pillow Covers",,"Discount Code|Throw Pillows",
1212,"RV Keyless Entry Lock",,"RV Parts",
1230,"Matte Black Shower Rod",,Hardware,
1232,"Black Clip Curtain Rings",,Hardware,
1428,"303 Ultimate UV Protection",,"RV Maintenance",
1430,"ProFlex Exterior RV Sealant",,"RV Maintenance",
1432,"RV Slideout & Window Track Care",,"RV Maintenance",
1436,"Interior Extreme Stretch Paintable Caulk",,"Paint|RV Maintenance",
1438,"Solera Slideout Awning",,"RV Parts",
1440,"RecPro RV Rubber Roof Kit",,"RV Maintenance",
1442,"Graco Magnum X5 Paint Sprayer",,Paint,
1464,"30"" Recessed Fireplace",,"Entertainment Center",
1465,"7350 Flooring Adhesive",,Flooring,
1467,"Barn Door Hardware",,"Entertainment Center",
1468,"Rocker On/Off Switches",,"Entertainment Center",
1469,"Wall Sconce",,"Entertainment Center|Matte Black",
1474,"iRV Bluetooth Stereo",,"Entertainment Center|Stereos",
1480,"Flood 610 Floetrol",,Paint,
1490,"RV Interior LED Bulbs Warm White",,"Lights|RV Parts",
1507,"ArtResin Epoxy",,,
1508,"Sliding Barn Door Hardware",,Hardware,
1509,"Faux Pampas Grass",,Decor,
1510,"36"" x 24"" Mirror",,Decor|Mirrors,
1511,"Set of 3 Bottle Vases",,Decor,
1519,"12"" Sliding Door Handle",,Hardware,
1520,"Sliding Door Lock",,Hardware,
1524,"Twin 66"" Wide Faux Leather Futon",,Futons,
1526,"Dicor EPDM Rubber Roof Cleaner Activator",,"Roof|RV Maintenance",
1529,"Dicor EPDM Rubber Roof Coating",,"Roof|RV Maintenance",
